============================================================
Phase 0.2: Fetching POC Sample Tickets
============================================================

Total tickets to fetch: 99
[1/99] Ticket 60237327: CACHED (skipping)
[2/99] Ticket 60211680: CACHED (skipping)
[3/99] Ticket 60214613: CACHED (skipping)
[4/99] Ticket 60247476: CACHED (skipping)
[5/99] Ticket 60234621: CACHED (skipping)
[6/99] Ticket 60227783: CACHED (skipping)
[7/99] Ticket 60238457: CACHED (skipping)
[8/99] Ticket 60226631: CACHED (skipping)
[9/99] Ticket 60238295: CACHED (skipping)
[10/99] Ticket 60218313: CACHED (skipping)
[11/99] Ticket 60230438: CACHED (skipping)
[12/99] Ticket 60241518: CACHED (skipping)
[13/99] Ticket 60240989: CACHED (skipping)
[14/99] Ticket 60258400: CACHED (skipping)
[15/99] Ticket 60231299: CACHED (skipping)
[16/99] Ticket 60241392: CACHED (skipping)
[17/99] Ticket 60242814: CACHED (skipping)
[18/99] Ticket 60225231: CACHED (skipping)
[19/99] Ticket 60231851: CACHED (skipping)
[20/99] Ticket 60230003: CACHED (skipping)
[21/99] Ticket 60252140: CACHED (skipping)
[22/99] Ticket 60220499: CACHED (skipping)
[23/99] Ticket 60256173: CACHED (skipping)
[24/99] Ticket 60210541: CACHED (skipping)
[25/99] Ticket 60209095: CACHED (skipping)
[26/99] Ticket 60252864: CACHED (skipping)
[27/99] Ticket 60232130: CACHED (skipping)
[28/99] Ticket 60220701: CACHED (skipping)
[29/99] Fetching ticket 60239883... OK
[30/99] Fetching ticket 60209553... OK
[31/99] Fetching ticket 60211226... OK
[32/99] Fetching ticket 60222887... OK
[33/99] Fetching ticket 60248266... OK
[34/99] Fetching ticket 60212784... OK
[35/99] Fetching ticket 60238514... OK
[36/99] Fetching ticket 60270630... OK
[37/99] Fetching ticket 60229854... OK
[38/99] Fetching ticket 60250996... OK
[39/99] Fetching ticket 60250793... OK
[40/99] Fetching ticket 60248265... OK
[41/99] Fetching ticket 60264202... OK
[42/99] Fetching ticket 60223404... OK
[43/99] Fetching ticket 60210131... OK
[44/99] Fetching ticket 60234884... OK
[45/99] Fetching ticket 60218070... OK
[46/99] Fetching ticket 60222765... OK
[47/99] Fetching ticket 60251281... OK
[48/99] Fetching ticket 60233211... OK
[49/99] Fetching ticket 60260239... OK
[50/99] Fetching ticket 60209192... OK
[51/99] Fetching ticket 60269002... OK
[52/99] Fetching ticket 60232940... OK
[53/99] Fetching ticket 60237213... OK
[54/99] Fetching ticket 60233341... OK
[55/99] Fetching ticket 60264368... OK
[56/99] Fetching ticket 60219661... OK
[57/99] Fetching ticket 60258751... OK
[58/99] Fetching ticket 60208754... OK
[59/99] Fetching ticket 60256250... OK
[60/99] Fetching ticket 60250271... OK
[61/99] Fetching ticket 60264386... OK
[62/99] Fetching ticket 60233855... OK
[63/99] Fetching ticket 60230887... OK
[64/99] Fetching ticket 60243347... OK
[65/99] Fetching ticket 60219657... OK
[66/99] Fetching ticket 60259640... OK
[67/99] Fetching ticket 60243765... OK
[68/99] Fetching ticket 60243234... OK
[69/99] Fetching ticket 60230303... OK
[70/99] Fetching ticket 60267393... OK
[71/99] Fetching ticket 60246498... OK
[72/99] Fetching ticket 60253689... OK
[73/99] Fetching ticket 60212281... OK
[74/99] Fetching ticket 60250122... OK
[75/99] Fetching ticket 60235310... OK
[76/99] Fetching ticket 60221483... OK
[77/99] Fetching ticket 60242868... OK
[78/99] Fetching ticket 60214082... OK
[79/99] Fetching ticket 60233405... OK
[80/99] Fetching ticket 60224201... OK
[81/99] Fetching ticket 60236962... OK
[82/99] Fetching ticket 60218865... OK
[83/99] Fetching ticket 60231535... OK
[84/99] Fetching ticket 60223073... OK
[85/99] Fetching ticket 60254579... OK
[86/99] Fetching ticket 60256854... OK
[87/99] Fetching ticket 60267287... OK
[88/99] Fetching ticket 60261219... OK
[89/99] Fetching ticket 60247413... OK
[90/99] Fetching ticket 60222138... OK
[91/99] Fetching ticket 60239472... OK
[92/99] Fetching ticket 60227322... OK
[93/99] Fetching ticket 60269018... OK
[94/99] Fetching ticket 60258962... OK
[95/99] Fetching ticket 60225246... OK
[96/99] Fetching ticket 60268699... OK
[97/99] Fetching ticket 60224885... OK
[98/99] Fetching ticket 60264009... OK
[99/99] Fetching ticket 60243726... OK

============================================================
FETCH SUMMARY
============================================================
Total tickets: 99
Successfully fetched: 71
Cached (skipped): 28
Errors: 0

Raw tickets saved to: data/poc/raw/
