ai_count,employee_count,customer_count,general_count,atlas_count,hermes_count,first_interaction_ts,last_interaction_ts,time_to_first_human_seconds,time_to_first_ai_seconds,max_gap_seconds,gaps_over_24h,gaps_over_48h,max_consecutive_ai,ai_only_before_human,ai_streak_at_start,has_customer_frustration_keywords,has_previous_ticket_reference,has_repeated_info_request,ticket_id,total_interactions,product_code
4,2,1,0,3,0,2025-10-23T18:45:42,2025-10-29T11:35:33,300004.0,3.0,266505.0,2,2,4,4,False,False,False,False,60227783,7,khoros_care
1,0,0,0,1,0,2025-10-15T07:53:24,2025-10-15T07:53:24,,0.0,0.0,0,0,1,1,False,False,False,False,60221483,1,khoros_classic
1,1,2,0,1,0,2025-09-29T14:02:21,2025-09-30T06:53:48,60687.0,29.0,60653.0,0,0,1,1,False,False,False,False,60209192,4,streetsmart
9,5,3,9,0,0,2025-11-12T15:24:17,2025-12-17T15:02:30,1553323.0,25.0,1539853.0,5,3,3,3,False,False,False,False,60241518,26,aurea_exinda_network_orchestrator
0,0,1,0,0,0,2025-10-11T07:48:43,2025-10-11T07:48:43,,,0.0,0,0,0,0,False,False,False,False,60218865,1,aurea_mailessentials
1,0,0,0,1,0,2025-10-05T06:47:57,2025-10-05T06:47:57,,0.0,0.0,0,0,1,1,False,False,False,False,60214082,1,aurea_mailessentials
1,0,0,0,1,0,2025-11-14T21:57:37,2025-11-14T21:57:37,,0.0,0.0,0,0,1,1,False,False,False,False,60243765,1,khoros_generic
1,0,0,0,1,0,2025-10-02T20:19:30,2025-10-02T20:19:30,,0.0,0.0,0,0,1,1,False,False,False,False,60212784,1,avolin_tradebeam
16,4,0,0,5,0,2025-10-14T08:44:24,2025-11-05T15:43:09,1295489.0,0.0,498625.0,8,3,11,11,False,False,False,False,60220499,20,aurea_kerio_control
9,1,1,7,0,0,2025-11-10T18:00:48,2025-11-13T13:13:39,241123.0,23.0,231795.0,1,1,4,5,True,False,False,False,60239883,18,aurea_languard
53,60,2,15,9,0,2025-11-07T15:53:05,2025-11-19T16:54:45,702.0,49.0,548959.14,2,1,4,2,False,False,True,False,60238457,130,khoros_care
1,2,3,0,1,0,2025-09-30T15:50:42,2025-10-31T14:06:39,2671536.0,53.0,2671256.0,1,1,1,1,False,False,False,False,60210541,6,aurea_kerio_control
1,0,0,0,1,0,2025-11-06T11:06:38,2025-11-06T11:06:38,,0.0,0.0,0,0,1,1,False,False,False,False,60237327,1,khoros_classic
4,2,0,0,4,0,2025-09-30T08:48:23,2025-10-28T12:04:02,2406283.0,0.0,2214594.0,2,2,4,4,False,False,False,False,60210131,6,fogbugz
4,0,2,0,4,0,2025-12-08T19:06:03,2025-12-08T19:12:56,,4.0,329.0,0,0,3,4,False,False,False,False,60258962,6,aurea_languard
4,4,2,0,2,0,2025-10-28T01:06:35,2025-11-05T21:25:04,561513.0,5.0,561431.0,2,2,3,3,False,False,False,False,60230303,10,khoros_aurora
1,0,0,0,1,0,2025-12-04T22:59:16,2025-12-04T22:59:16,,0.0,0.0,0,0,1,1,False,False,False,False,60256854,1,aurea_languard
0,0,1,0,0,0,2025-11-26T13:31:43,2025-11-26T13:31:43,,,0.0,0,0,0,0,False,False,False,False,60250996,1,dnn
1,0,2,0,1,0,2025-10-29T14:10:26,2025-10-29T14:10:51,,23.0,23.0,0,0,1,1,False,False,False,False,60231535,3,aurea_languard
13,1,2,2,5,0,2025-11-25T11:29:01,2025-12-27T07:23:42,2750051.0,26.0,2208669.0,2,2,4,12,False,False,False,False,60250122,18,khoros_classic
5,1,3,0,5,0,2025-12-08T08:24:24,2025-12-09T13:32:09,104865.0,5.0,94052.0,1,0,3,5,False,False,False,False,60258400,9,aurea_languard
1,0,1,0,1,0,2025-10-29T08:27:13,2025-10-29T08:27:55,,42.0,42.0,0,0,1,1,False,False,False,False,60231299,2,aurea_kerio_connect
